psnrs,iters
32.36853,0
32.078182,1
33.860657,2
32.23346,3
29.877836,4
31.006912,5
30.744324,6
32.535183,7
31.998482,8
32.267273,9
31.198269,10
33.434303,11
29.416203,12
31.739637,13
32.34425,14
32.92311,15
29.06948,16
33.26104,17
33.095886,18
30.333992,19
33.84043,20
31.039333,21
32.002903,22
30.216799,23
30.60047,24
30.43707,25
29.82042,26
32.95899,27
29.628141,28
30.092575,29
31.235905,30
32.59171,31
27.608406,32
31.651201,33
30.870953,34
31.620403,35
31.87669,36
30.323084,37
32.99389,38
30.451078,39
30.092813,40
31.681784,41
33.16188,42
33.438705,43
31.841522,44
27.954369,45
30.956182,46
35.316032,47
33.805195,48
33.25685,49
31.240139,50
29.609112,51
32.26423,52
33.105667,53
34.416267,54
29.596012,55
31.328087,56
29.631855,57
30.964563,58
29.437954,59
33.044655,60
25.201603,61
34.06463,62
30.99014,63
31.06291,64
32.977528,65
33.771755,66
31.568546,67
29.918724,68
31.025345,69
31.435278,70
29.107218,71
28.75392,72
30.052225,73
34.73814,74
29.177248,75
32.018845,76
29.355173,77
29.221136,78
29.50753,79
30.143959,80
30.096035,81
32.19826,82
29.451027,83
29.034298,84
30.05214,85
32.072887,86
29.426163,87
32.133064,88
31.341015,89
28.25096,90
30.029057,91
31.59277,92
30.435904,93
31.582027,94
26.89384,95
33.33155,96
29.579193,97
30.777683,98
31.053444,99
32.798687,100
33.823223,101
31.450426,102
29.828861,103
33.935738,104
33.061195,105
32.339676,106
28.342625,107
30.11512,108
30.026352,109
33.777287,110
30.140156,111
32.09328,112
33.68961,113
32.417442,114
31.86465,115
34.905018,116
32.5219,117
29.447456,118
33.382996,119
30.338495,120
33.602814,121
31.636398,122
30.597536,123
29.08128,124
30.14561,125
30.059336,126
28.825605,127
31.23629,128
34.821636,129
30.311989,130
29.88433,131
32.838356,132
28.868696,133
29.758112,134
29.448137,135
30.006018,136
32.462154,137
34.096558,138
32.98114,139
28.997917,140
29.767723,141
31.349033,142
31.687634,143
28.56166,144
30.523537,145
29.694433,146
28.938835,147
31.132595,148
